food_0,720,457,100
food_1,764,402,100
food_2,824,359,100
food_3,874,317,100
food_4,936,300,100
food_5,1001,310,100
food_6,1047,320,100
food_7,1089,345,100
food_8,1135,369,100
food_9,1163,402,100
food_10,1198,431,100
food_11,1230,469,100
food_12,1258,512,100
food_13,1284,572,100
food_14,1302,643,100
food_15,1317,713,100
food_16,1302,774,100
food_17,1284,835,100
food_18,1258,906,100
food_19,1230,958,100
food_20,1198,1012,100
food_21,1163,1064,100
food_22,1135,1119,100
food_23,1089,1169,100
food_24,1047,1225,100
food_25,1001,1271,100
food_26,955,1320,100
food_27,910,1362,100
food_28,851,1415,100
food_29,809,1455,100
food_30,759,1493,100
food_31,708,1530,100
food_32,670,1563,100
food_33,632,1530,100
food_34,581,1493,100
food_35,531,1455,100
food_36,489,1415,100
food_37,430,1362,100
food_38,385,1320,100
food_39,339,1271,100
food_40,293,1225,100
food_41,251,1169,100
food_42,205,1119,100
food_43,177,1064,100
food_44,142,1012,100
food_45,110,958,100
food_46,82,906,100
food_47,56,835,100
food_48,38,774,100
food_49,23,713,100
food_50,38,643,100
food_51,56,572,100
food_52,82,512,100
food_53,110,469,100
food_54,142,431,100
food_55,177,402,100
food_56,205,369,100
food_57,251,345,100
food_58,293,320,100
food_59,339,310,100
food_60,404,300,100
food_61,466,317,100
food_62,516,359,100
food_63,576,402,100
food_64,620,457,100
food_65,670,470,100
food_66,645,1199,150
food_67,620,950,200
food_68,570,613,300